iter	Passed	Remaining
0	132	132406
1	134	67144
2	136	45360
3	140	35080
4	143	28538
5	145	24063
6	147	20896
7	149	18513
8	154	16984
9	157	15581
10	159	14366
11	162	13408
12	165	12533
13	168	11885
14	170	11195
15	172	10601
16	174	10072
17	176	9609
18	178	9191
19	179	8810
20	184	8578
21	185	8261
22	187	7971
23	189	7698
24	191	7450
25	192	7219
26	195	7030
27	200	6947
28	202	6778
29	205	6633
30	213	6688
31	216	6549
32	222	6527
33	228	6495
34	231	6379
35	234	6275
36	236	6163
37	239	6056
38	242	5973
39	244	5873
40	247	5783
41	249	5691
42	251	5608
43	265	5757
44	269	5725
45	275	5711
46	277	5625
47	279	5544
48	281	5468
49	283	5390
50	291	5433
51	294	5367
52	297	5311
53	299	5242
54	306	5259
55	308	5205
56	310	5144
57	313	5098
58	319	5098
59	321	5038
60	323	4986
61	326	4941
62	331	4924
63	336	4927
64	339	4877
65	341	4831
66	344	4795
67	346	4746
68	351	4747
69	354	4712
70	356	4670
71	360	4640
72	361	4596
73	367	4604
74	370	4569
75	373	4538
76	376	4508
77	382	4526
78	385	4493
79	387	4456
80	389	4422
81	391	4387
82	392	4341
83	397	4331
84	399	4298
85	401	4267
86	403	4239
87	406	4213
88	412	4218
89	414	4192
90	416	4161
91	418	4126
92	419	4093
93	421	4061
94	423	4031
95	427	4022
96	428	3990
97	430	3959
98	431	3930
99	435	3918
100	437	3895
101	443	3902
102	446	3885
103	448	3862
104	450	3835
105	451	3811
106	453	3787
107	458	3784
108	460	3762
109	462	3740
110	464	3716
111	466	3694
112	467	3672
113	472	3671
114	475	3657
115	477	3639
116	479	3620
117	483	3615
118	487	3610
119	489	3591
120	491	3571
121	493	3549
122	494	3528
123	496	3508
124	498	3488
125	501	3481
126	503	3464
127	505	3445
128	507	3428
129	509	3410
130	511	3392
131	513	3375
132	518	3380
133	521	3367
134	522	3350
135	524	3332
136	526	3314
137	527	3297
138	531	3289
139	532	3273
140	534	3257
141	535	3237
142	537	3221
143	539	3205
144	541	3190
145	542	3175
146	548	3181
147	550	3170
148	553	3159
149	556	3155
150	565	3178
151	567	3167
152	571	3161
153	574	3154
154	578	3156
155	581	3145
156	583	3132
157	588	3137
158	592	3134
159	596	3130
160	598	3118
161	601	3110
162	604	3101
163	610	3113
164	613	3104
165	616	3095
166	618	3084
167	621	3077
168	625	3076
169	628	3070
170	631	3060
171	634	3053
172	644	3080
173	647	3072
174	651	3073
175	677	3171
176	680	3163
177	682	3151
178	684	3141
179	690	3144
180	692	3134
181	695	3124
182	697	3113
183	699	3103
184	704	3103
185	706	3092
186	708	3080
187	710	3068
188	712	3057
189	714	3045
190	718	3044
191	720	3032
192	722	3021
193	724	3009
194	726	2997
195	728	2986
196	734	2992
197	737	2985
198	752	3027
199	754	3017
200	756	3007
201	759	3000
202	761	2990
203	769	3002
204	772	2997
205	775	2989
206	777	2979
207	781	2976
208	783	2967
209	786	2958
210	789	2953
211	792	2945
212	797	2948
213	800	2940
214	803	2932
215	808	2935
216	811	2927
217	814	2920
218	816	2911
219	818	2903
220	821	2894
221	826	2895
222	828	2887
223	831	2880
224	833	2872
225	841	2880
226	843	2873
227	845	2864
228	848	2855
229	850	2847
230	854	2843
231	856	2836
232	860	2831
233	862	2823
234	865	2816
235	871	2822
236	873	2813
237	875	2803
238	880	2802
239	882	2794
240	884	2786
241	887	2779
242	890	2773
243	895	2774
244	901	2778
245	903	2770
246	906	2762
247	909	2759
248	912	2752
249	915	2746
250	917	2738
251	927	2753
252	931	2748
253	933	2741
254	938	2743
255	943	2743
256	946	2735
257	948	2727
258	951	2720
259	953	2714
260	958	2712
261	960	2704
262	962	2695
263	964	2688
264	966	2681
265	969	2674
266	973	2672
267	975	2664
268	979	2661
269	982	2656
270	984	2648
271	989	2647
272	991	2639
273	993	2631
274	995	2623
275	997	2616
276	999	2608
277	1003	2606
278	1006	2599
279	1007	2591
280	1009	2584
281	1012	2577
282	1014	2569
283	1017	2565
284	1021	2563
285	1024	2558
286	1027	2552
287	1030	2546
288	1045	2572
289	1050	2572
290	1054	2568
291	1056	2562
292	1058	2554
293	1060	2547
294	1066	2548
295	1068	2541
296	1071	2537
297	1075	2533
298	1079	2530
299	1081	2523
300	1083	2517
301	1086	2510
302	1088	2503
303	1090	2497
304	1092	2489
305	1094	2482
306	1096	2475
307	1099	2469
308	1101	2462
309	1103	2456
310	1109	2458
311	1112	2452
312	1114	2446
313	1119	2445
314	1125	2447
315	1128	2442
316	1132	2439
317	1135	2434
318	1137	2428
319	1140	2423
320	1145	2422
321	1150	2423
322	1159	2429
323	1164	2430
324	1167	2424
325	1169	2417
326	1171	2411
327	1174	2406
328	1182	2411
329	1184	2405
330	1187	2399
331	1189	2393
332	1195	2394
333	1197	2388
334	1202	2386
335	1204	2380
336	1208	2377
337	1210	2371
338	1213	2365
339	1215	2359
340	1218	2354
341	1224	2355
342	1227	2350
343	1229	2344
344	1231	2338
345	1234	2333
346	1239	2332
347	1246	2334
348	1248	2328
349	1251	2323
350	1256	2323
351	1260	2319
352	1262	2313
353	1264	2308
354	1267	2302
355	1271	2300
356	1274	2295
357	1276	2289
358	1279	2285
359	1286	2287
360	1289	2281
361	1292	2277
362	1295	2273
363	1300	2273
364	1303	2267
365	1305	2262
366	1308	2257
367	1311	2252
368	1317	2252
369	1319	2246
370	1321	2240
371	1324	2236
372	1329	2234
373	1333	2232
374	1336	2227
375	1339	2223
376	1344	2221
377	1348	2218
378	1350	2212
379	1352	2206
380	1355	2202
381	1362	2204
382	1364	2198
383	1366	2191
384	1368	2185
385	1370	2179
386	1375	2179
387	1378	2174
388	1381	2169
389	1383	2164
390	1386	2159
391	1390	2157
392	1393	2151
393	1396	2147
394	1398	2142
395	1400	2136
396	1403	2131
397	1405	2126
398	1407	2120
399	1410	2115
400	1413	2110
401	1415	2106
402	1423	2108
403	1425	2103
404	1429	2100
405	1432	2095
406	1436	2092
407	1438	2087
408	1440	2081
409	1442	2076
410	1444	2070
411	1446	2064
412	1452	2063
413	1454	2058
414	1456	2052
415	1458	2047
416	1461	2043
417	1466	2041
418	1468	2036
419	1470	2031
420	1473	2026
421	1478	2025
422	1481	2020
423	1483	2015
424	1486	2011
425	1492	2010
426	1499	2012
427	1503	2009
428	1506	2005
429	1510	2002
430	1515	2000
431	1517	1995
432	1519	1990
433	1530	1996
434	1534	1993
435	1537	1988
436	1541	1985
437	1543	1980
438	1545	1974
439	1547	1968
440	1548	1962
441	1550	1957
442	1552	1951
443	1554	1946
444	1558	1944
445	1560	1938
446	1562	1933
447	1564	1927
448	1566	1922
449	1571	1920
450	1574	1916
451	1576	1910
452	1578	1905
453	1579	1900
454	1581	1894
455	1583	1889
456	1589	1888
457	1591	1883
458	1593	1878
459	1596	1874
460	1598	1869
461	1604	1867
462	1606	1863
463	1608	1858
464	1611	1853
465	1614	1850
466	1620	1849
467	1623	1845
468	1625	1840
469	1627	1835
470	1629	1830
471	1634	1828
472	1636	1823
473	1638	1818
474	1639	1812
475	1642	1807
476	1643	1802
477	1648	1800
478	1650	1795
479	1652	1790
480	1654	1785
481	1657	1781
482	1663	1780
483	1665	1775
484	1667	1770
485	1669	1765
486	1671	1760
487	1673	1755
488	1675	1750
489	1679	1748
490	1681	1743
491	1683	1738
492	1685	1733
493	1687	1728
494	1689	1723
495	1692	1720
496	1694	1715
497	1696	1710
498	1698	1705
499	1699	1699
500	1701	1694
501	1703	1689
502	1705	1684
503	1709	1682
504	1712	1678
505	1714	1673
506	1717	1669
507	1719	1665
508	1721	1660
509	1723	1656
510	1725	1651
511	1727	1646
512	1729	1641
513	1730	1636
514	1732	1631
515	1736	1628
516	1739	1625
517	1741	1620
518	1743	1615
519	1745	1610
520	1747	1606
521	1748	1601
522	1751	1597
523	1752	1592
524	1754	1587
525	1756	1582
526	1758	1578
527	1760	1573
528	1764	1570
529	1767	1567
530	1769	1562
531	1771	1558
532	1772	1553
533	1774	1548
534	1776	1544
535	1782	1542
536	1784	1538
537	1786	1534
538	1788	1530
539	1791	1526
540	1796	1524
541	1800	1521
542	1802	1516
543	1804	1512
544	1807	1508
545	1811	1506
546	1813	1502
547	1815	1497
548	1817	1493
549	1819	1488
550	1821	1484
551	1825	1481
552	1827	1477
553	1829	1472
554	1831	1468
555	1833	1463
556	1834	1459
557	1836	1454
558	1839	1451
559	1843	1448
560	1845	1443
561	1847	1439
562	1849	1435
563	1851	1431
564	1855	1428
565	1857	1424
566	1859	1419
567	1861	1415
568	1863	1411
569	1865	1407
570	1867	1402
571	1870	1399
572	1872	1395
573	1874	1391
574	1876	1387
575	1878	1383
576	1880	1378
577	1882	1374
578	1889	1373
579	1894	1371
580	1898	1369
581	1904	1367
582	1906	1363
583	1909	1359
584	1912	1356
585	1923	1358
586	1931	1359
587	1935	1356
588	1941	1354
589	1950	1355
590	1954	1352
591	1964	1353
592	1968	1351
593	1974	1349
594	1977	1345
595	1980	1342
596	1983	1338
597	1987	1335
598	1992	1334
599	1995	1330
600	1999	1327
601	2013	1331
602	2027	1334
603	2032	1332
604	2040	1332
605	2043	1328
606	2050	1327
607	2052	1323
608	2053	1318
609	2055	1314
610	2057	1309
611	2059	1305
612	2064	1303
613	2066	1299
614	2068	1294
615	2069	1290
616	2071	1285
617	2073	1281
618	2075	1277
619	2078	1273
620	2080	1269
621	2082	1265
622	2084	1261
623	2086	1257
624	2088	1252
625	2090	1249
626	2092	1244
627	2094	1240
628	2097	1237
629	2101	1234
630	2105	1231
631	2107	1227
632	2110	1223
633	2116	1221
634	2118	1217
635	2120	1213
636	2123	1210
637	2126	1206
638	2130	1203
639	2133	1200
640	2138	1197
641	2140	1193
642	2143	1190
643	2146	1186
644	2149	1182
645	2151	1178
646	2153	1174
647	2155	1170
648	2157	1166
649	2163	1164
650	2166	1161
651	2168	1157
652	2170	1153
653	2172	1149
654	2176	1146
655	2178	1142
656	2180	1138
657	2183	1134
658	2189	1133
659	2191	1128
660	2193	1124
661	2195	1120
662	2197	1116
663	2198	1112
664	2203	1110
665	2205	1106
666	2207	1101
667	2209	1097
668	2213	1095
669	2215	1091
670	2220	1088
671	2223	1085
672	2226	1081
673	2228	1077
674	2230	1073
675	2234	1070
676	2236	1067
677	2239	1063
678	2242	1060
679	2244	1056
680	2246	1052
681	2249	1048
682	2251	1045
683	2253	1041
684	2255	1037
685	2257	1033
686	2259	1029
687	2263	1026
688	2265	1022
689	2268	1018
690	2270	1015
691	2273	1011
692	2274	1007
693	2278	1004
694	2279	1000
695	2281	996
696	2283	992
697	2285	988
698	2287	985
699	2289	981
700	2293	978
701	2295	974
702	2297	970
703	2301	967
704	2303	963
705	2304	959
706	2308	956
707	2310	952
708	2312	949
709	2314	945
710	2315	941
711	2317	937
712	2319	933
713	2323	930
714	2325	926
715	2327	923
716	2329	919
717	2331	915
718	2333	911
719	2336	908
720	2339	905
721	2341	901
722	2343	897
723	2345	894
724	2347	890
725	2349	886
726	2354	884
727	2357	880
728	2361	878
729	2363	874
730	2368	871
731	2371	868
732	2374	864
733	2377	861
734	2379	857
735	2380	853
736	2383	850
737	2385	846
738	2387	843
739	2388	839
740	2390	835
741	2396	833
742	2398	829
743	2400	826
744	2402	822
745	2405	818
746	2407	815
747	2413	812
748	2415	809
749	2418	806
750	2419	802
751	2421	798
752	2424	795
753	2427	792
754	2430	788
755	2433	785
756	2439	783
757	2441	779
758	2444	776
759	2446	772
760	2448	769
761	2459	768
762	2461	764
763	2464	761
764	2466	757
765	2470	754
766	2472	751
767	2473	747
768	2475	743
769	2477	740
770	2479	736
771	2481	732
772	2485	729
773	2489	726
774	2491	723
775	2493	719
776	2495	716
777	2501	713
778	2503	710
779	2505	706
780	2506	702
781	2509	699
782	2511	695
783	2512	692
784	2516	689
785	2518	685
786	2520	682
