iter	Passed	Remaining
0	147	147476
1	148	74343
2	150	49966
3	151	37763
4	153	30454
5	154	25567
6	155	22078
7	156	19462
8	158	17427
9	159	15817
10	161	14484
11	162	13375
12	163	12432
13	165	11629
14	166	10929
15	167	10317
16	169	9780
17	170	9302
18	171	8871
19	173	8485
20	174	8138
21	175	7821
22	177	7529
23	178	7261
24	179	7015
25	181	6788
26	182	6576
27	183	6379
28	185	6198
29	186	6026
30	187	5872
31	189	5723
32	190	5583
33	191	5452
34	193	5326
35	194	5209
36	196	5102
37	197	4996
38	198	4902
39	200	4806
40	201	4719
41	203	4636
42	204	4552
43	205	4473
44	207	4397
45	208	4325
46	209	4254
47	211	4188
48	212	4124
49	213	4062
50	215	4008
51	217	3960
52	218	3906
53	220	3854
54	221	3802
55	222	3753
56	223	3705
57	225	3659
58	226	3614
59	227	3571
60	229	3533
61	230	3492
62	232	3453
63	233	3415
64	234	3378
65	236	3342
66	237	3307
67	238	3265
68	239	3232
69	240	3200
70	242	3168
71	244	3150
72	245	3120
73	246	3090
74	248	3062
75	249	3034
76	250	3006
77	252	2979
78	253	2954
79	254	2928
80	255	2903
81	257	2881
82	258	2860
83	260	2838
84	261	2810
85	262	2788
86	263	2763
87	264	2742
88	266	2723
89	267	2708
90	269	2690
91	270	2671
92	272	2658
93	274	2642
94	275	2623
95	276	2606
96	278	2588
97	279	2571
98	280	2554
99	281	2537
100	283	2522
101	284	2500
102	285	2484
103	286	2470
104	288	2455
105	289	2440
106	290	2426
107	291	2411
108	293	2398
109	294	2383
110	295	2369
111	297	2356
112	298	2342
113	299	2331
114	301	2320
115	302	2305
116	303	2293
117	305	2280
118	306	2266
119	307	2254
120	308	2242
121	309	2230
122	310	2215
123	311	2203
124	313	2192
125	314	2183
126	316	2173
127	316	2159
128	318	2149
129	319	2138
130	320	2128
131	322	2118
132	323	2108
133	324	2098
134	325	2088
135	327	2078
136	328	2070
137	329	2060
138	331	2051
139	332	2042
140	334	2034
141	335	2026
142	336	2018
143	338	2009
144	339	2001
145	340	1992
146	342	1985
147	343	1977
148	344	1968
149	346	1960
150	347	1952
151	348	1944
152	349	1936
153	351	1928
154	352	1920
155	353	1913
156	354	1905
157	356	1898
158	357	1891
159	358	1884
160	360	1877
161	361	1869
162	362	1862
163	364	1855
164	365	1848
165	366	1842
166	367	1835
167	369	1828
168	371	1824
169	372	1820
170	374	1816
171	376	1812
172	378	1810
173	379	1803
174	381	1797
175	382	1791
176	383	1785
177	385	1779
178	386	1773
179	387	1766
180	388	1757
181	389	1751
182	390	1745
183	392	1739
184	393	1733
185	394	1727
186	396	1722
187	397	1716
188	398	1710
189	399	1705
190	401	1699
191	402	1693
192	403	1688
193	404	1682
194	406	1677
195	407	1672
196	408	1666
197	410	1661
198	411	1656
199	412	1651
200	414	1646
201	415	1640
202	416	1635
203	417	1630
204	419	1625
205	420	1620
206	421	1615
207	422	1610
208	424	1605
209	425	1601
210	427	1597
211	428	1592
212	429	1587
213	430	1582
214	432	1578
215	433	1573
216	434	1568
217	436	1564
218	437	1559
219	438	1554
220	439	1550
221	441	1546
222	442	1541
223	443	1537
224	444	1532
225	446	1528
226	447	1523
227	448	1519
228	449	1514
229	451	1510
230	452	1506
231	453	1502
232	455	1498
233	456	1494
234	457	1489
235	458	1485
236	460	1481
237	461	1477
238	462	1473
239	464	1469
240	465	1465
241	466	1461
242	467	1457
243	469	1453
244	470	1449
245	471	1445
246	473	1442
247	474	1438
248	475	1434
249	476	1430
250	478	1426
251	479	1422
252	481	1421
253	482	1417
254	483	1413
255	485	1409
256	486	1406
257	487	1402
258	488	1398
259	490	1395
260	491	1391
261	492	1387
262	494	1384
263	495	1381
264	497	1379
265	498	1375
266	499	1372
267	501	1369
268	502	1365
269	503	1361
270	504	1358
271	506	1354
272	507	1351
273	508	1348
274	510	1344
275	511	1341
276	512	1338
277	513	1334
278	515	1331
279	516	1328
280	517	1324
281	519	1321
282	520	1318
283	521	1315
284	523	1312
285	524	1309
286	525	1305
287	526	1302
288	528	1299
289	529	1296
290	530	1293
291	532	1290
292	533	1286
293	534	1283
294	536	1281
295	537	1277
296	538	1274
297	539	1271
298	541	1268
299	542	1265
300	543	1262
301	544	1259
302	546	1256
303	547	1253
304	548	1250
305	549	1247
306	551	1244
307	552	1241
308	553	1238
309	555	1235
310	556	1232
311	557	1229
312	558	1226
313	560	1223
314	561	1220
315	562	1218
316	564	1215
317	565	1212
318	566	1209
319	567	1206
320	569	1203
321	570	1200
322	571	1198
323	572	1195
324	574	1192
325	575	1189
326	576	1187
327	578	1184
328	579	1181
329	580	1179
330	582	1176
331	583	1173
332	584	1170
333	585	1167
334	587	1165
335	588	1162
336	589	1159
337	590	1157
338	592	1154
339	593	1152
340	594	1149
341	596	1146
342	597	1144
343	598	1141
344	599	1138
345	601	1136
346	602	1133
347	603	1131
348	604	1128
349	606	1125
350	607	1123
351	608	1120
352	609	1117
353	611	1115
354	612	1112
355	613	1110
356	615	1107
357	616	1105
358	617	1102
359	618	1100
360	620	1097
361	621	1095
362	622	1092
363	623	1090
364	625	1087
365	626	1085
366	627	1082
367	629	1080
368	630	1077
369	631	1075
370	632	1073
371	635	1072
372	636	1070
373	637	1067
374	639	1065
375	640	1062
376	641	1060
377	643	1058
378	644	1055
379	645	1053
380	646	1050
381	648	1048
382	649	1046
383	650	1043
384	652	1041
385	653	1039
386	654	1037
387	656	1035
388	657	1032
389	658	1030
390	659	1027
391	661	1025
392	662	1023
393	663	1021
394	665	1018
395	666	1016
396	667	1014
397	669	1012
398	670	1009
399	671	1007
400	672	1005
401	674	1002
402	675	1000
403	677	998
404	678	997
405	680	995
406	682	993
407	683	991
408	684	989
409	685	986
410	687	984
411	688	982
412	689	980
413	690	978
414	692	975
415	693	973
416	694	971
417	696	969
418	697	966
419	698	964
420	700	962
421	701	960
422	702	958
423	704	956
424	705	954
425	706	952
426	708	950
427	709	948
428	710	946
429	712	943
430	713	941
431	714	939
432	716	937
433	717	935
434	718	933
435	720	931
436	721	929
437	722	927
438	723	925
439	725	922
440	726	920
441	727	918
442	729	916
443	730	914
444	732	913
445	733	911
446	735	910
447	737	908
448	739	907
449	740	905
450	742	903
451	743	901
452	744	899
453	746	897
454	747	895
455	749	894
456	750	892
457	752	890
458	753	888
459	754	886
460	756	884
461	757	881
462	758	879
463	760	877
464	761	876
465	762	874
466	764	872
467	765	869
468	766	867
469	767	865
470	769	863
471	770	861
472	771	859
473	772	857
474	774	855
475	775	853
476	776	851
477	778	849
478	779	847
479	780	845
480	781	843
481	783	841
482	784	839
483	785	837
484	786	835
485	788	833
486	789	831
487	790	829
488	792	827
489	793	825
490	794	823
491	796	821
492	797	819
493	798	818
494	799	816
495	801	814
496	802	812
497	803	810
498	805	808
499	806	806
500	807	804
501	808	802
502	810	800
503	811	798
504	812	796
505	813	794
506	815	792
507	816	790
508	817	788
509	819	787
510	820	785
511	821	783
512	823	781
513	824	779
514	825	777
515	826	775
516	828	773
517	829	771
518	830	769
519	832	768
520	833	766
521	834	764
522	835	762
523	837	760
524	838	758
525	839	756
526	841	754
527	842	753
528	843	751
529	844	749
530	846	747
531	847	745
532	848	743
533	850	741
534	851	739
535	852	738
536	854	736
537	855	734
538	856	732
539	858	731
540	860	729
541	861	727
542	862	726
543	863	724
544	865	722
545	866	720
546	867	718
547	868	716
548	870	714
549	871	713
550	873	711
551	874	709
552	876	708
553	877	706
554	878	704
555	879	702
556	881	700
557	882	698
558	883	697
559	884	695
560	886	693
561	887	691
562	888	689
563	890	688
564	891	686
565	892	684
566	893	682
567	895	680
568	896	678
569	897	677
570	898	675
571	900	673
572	901	671
573	902	669
574	904	668
575	905	666
576	906	664
577	907	662
578	909	661
579	910	659
580	911	657
581	913	655
582	914	654
583	915	652
584	917	650
585	918	648
586	919	647
587	920	645
588	922	643
589	923	641
590	926	641
591	928	639
592	929	637
593	930	636
594	932	634
595	933	632
596	934	630
597	935	629
598	937	627
599	938	625
600	939	623
601	941	622
602	943	620
603	944	619
604	945	617
605	947	615
606	948	614
607	949	612
608	951	610
609	952	608
610	953	607
611	954	605
612	956	603
613	957	601
614	958	600
615	960	598
616	961	596
617	962	595
618	963	593
619	965	591
620	966	589
621	967	588
622	969	586
623	970	584
624	971	583
625	973	581
626	974	579
627	975	577
628	976	576
629	978	574
630	979	572
631	980	570
632	981	569
633	983	568
634	985	566
635	986	564
636	987	562
637	989	561
638	990	559
639	991	557
640	992	556
641	993	554
642	995	552
643	996	550
644	997	549
645	999	547
646	1000	545
647	1001	544
648	1003	542
649	1004	540
650	1005	539
651	1006	537
652	1008	535
653	1009	533
654	1010	532
655	1011	530
656	1013	529
657	1014	527
658	1015	525
659	1017	523
660	1018	522
661	1019	520
662	1021	519
663	1022	517
664	1023	515
665	1025	514
666	1027	512
667	1028	511
668	1029	509
669	1031	507
670	1032	506
671	1033	504
672	1034	502
673	1036	501
674	1037	499
675	1038	497
676	1040	496
677	1041	494
678	1042	492
679	1043	491
680	1045	489
681	1046	487
682	1047	486
683	1049	484
684	1050	482
685	1051	481
686	1052	479
687	1054	478
688	1055	476
689	1056	474
690	1058	473
691	1059	471
692	1061	470
693	1062	468
694	1063	466
695	1064	465
696	1066	463
697	1067	461
698	1068	460
699	1070	458
700	1071	456
701	1072	455
702	1073	453
703	1075	452
704	1076	450
705	1077	448
706	1078	447
707	1080	445
708	1081	443
709	1082	442
710	1083	440
711	1085	438
712	1086	437
713	1087	435
714	1089	434
715	1090	432
716	1092	431
717	1094	429
718	1096	428
719	1097	426
720	1099	425
721	1100	423
722	1101	422
723	1103	420
724	1104	418
725	1105	417
726	1107	415
727	1108	414
728	1110	412
729	1111	411
730	1113	409
731	1114	408
732	1116	406
733	1118	405
734	1119	403
735	1120	401
736	1121	400
737	1123	398
738	1124	397
739	1125	395
740	1127	394
741	1128	392
742	1129	390
743	1131	389
744	1132	387
745	1133	386
746	1135	384
747	1136	382
748	1137	381
749	1139	379
750	1140	378
751	1141	376
752	1143	375
753	1144	373
754	1145	371
755	1147	370
756	1148	368
757	1149	367
758	1150	365
759	1152	363
760	1153	362
761	1154	360
762	1156	359
763	1157	357
764	1158	356
765	1160	354
766	1161	352
767	1162	351
768	1164	349
769	1165	348
770	1166	346
771	1167	344
772	1169	343
773	1170	341
774	1172	340
775	1173	338
776	1174	337
777	1176	335
778	1177	334
779	1178	332
780	1179	330
781	1181	329
782	1182	327
783	1184	326
784	1186	324
785	1187	323
786	1188	321
787	1190	320
788	1191	318
789	1192	317
790	1194	315
791	1195	313
792	1197	312
793	1198	310
794	1199	309
795	1201	307
796	1202	306
